video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=GRMs6U-MHH4&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Seattle Neighborhood Tour - Green Lake,6.3K,2 years,"In this video, I am giving you a tour around one of Seattle's most popular neighborhoods, Green Lake. From real estate to what ...",2026-01-18 23:28:02.697971
/watch?v=ya9GiaiSHaM&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@LivingandmovingtoSeattle,Living and Moving to Seattle Washington,Quick Green Lake Neighborhood Tour - Seattle Washington,1.4K,3 years,"Let's take a quick Green Lake neighborhood tour! If you're moving to Seattle Washington, you have to consider Green Lake.",2026-01-18 23:28:02.699495
/watch?v=tK4G5Fa8iiU&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@northwesthotspots6309,NORTHWEST HOTSPOTS!,Seattle's amazing Green Lake!... Full tour.,3.2K,2 years,"A full walk around Green Lake! Floating docks with diving boards, paddle board rentals, coffee shops, more!",2026-01-18 23:28:02.700695
/watch?v=DKGQQvW_xeU&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@seattlesmortgagebroker2081,Seattle's Mortgage Broker,GREEN LAKE || Seattle Neighborhood Tour,6.1K,4 years,"The beloved Green Lake Park in Seattle, Washington is near the top of many tourism lists for the best things to do in Seattle.",2026-01-18 23:28:02.702304
/watch?v=3msETI2TEZ4&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@seattleliving1O1,Seattle Living 1O1,GREEN LAKE: Seattle Washington Community Tour | Living In Green Lake In Seattle Washington | WA Home,457,1 year,Are you thinking about moving to Seattle Washington? Let's delve into a closer look at the charming homes nestled in the heart of ...,2026-01-18 23:28:02.706278
/watch?v=W9WdIYOGhkI&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@LivinginSeattleWashington,Living in Seattle Washington,"Seattle, Washington Neighborhoods Explained: Green Lake Vlog",1.4K,2 years,"Are you thinking of moving to Green Lake, Washington and want to know the most walkable suburbs near Seattle, Washington?",2026-01-18 23:28:02.707472
/watch?v=dF5PAWf4090&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@LivingInSeattle-DeveauxHomes,Living In Seattle - Sophia Deveaux,Moving to Seattle WA | Greenlake Neighborhood Tour,382,1 year,"Thinking about moving to Greenlake Seattle WA? In this video, we take you on a full tour of Greenlake, one of Seattle's most ...",2026-01-18 23:28:02.709100
/watch?v=lKEYLzcstOg&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@WARealEstateNeighborhoodTours,Area Tours for perspective home buyers.,"Green Lake Real Estate, tour of Green Lake in Seattle",42,4 months,"Green Lake, Seattle is a neighborhood in Seattle, Washington. This video explores neighborhood feel, schools, parks, and ...",2026-01-18 23:28:02.711107
/watch?v=krtvHMwCc54&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@LivingInSeattlePNW,Living in Seattle Washington PNW,Green Lake Washington Walking Tour: Top Activities & Housing Insights | Living In Seattle Washington,440,1 year,"Are you thinking about moving to Seattle Washington? Welcome to my Green Lake Washington Walking Tour! In this video, I take ...",2026-01-18 23:28:02.713161
/watch?v=P7eKgTi7s8k&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl0gcJCU8KAYcqIYzv,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Green Lake Park - Best Parks In Seattle,5.6K,6 years,"Green Lake Park is one of my favorite parks in Seattle. This north Seattle lakefront park features lots of open space, a 2.8-mile ...",2026-01-18 23:28:02.716999
/watch?v=9o5iunjcUzo&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@seattlelivingandwealthbuilding,Seattle Living & Wealth Building with WREG,"Inside Seattle’s Best Neighborhoods: Green Lake, Phinney Ridge & Greenwood",456,4 months,Want to sell your home? Find out how much your Seattle home is worth   https://bit.ly/SeattleHomeownerQuiz Want to buy a ...,2026-01-18 23:28:02.718169
/watch?v=7ka1rd-wJ0o&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@monicachurchrealtor,Monica Church Seattle Real Estate,The 5 Most Popular Seattle Neighborhoods To Live In (explained by a local),124K,2 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-18 23:28:02.719312
/watch?v=vzmRkbpef3k&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@LaoOcean,Lao Ocean,Seattle’s Best Park? | Exploring Green Lake + Walking The Loop,3.3K,3 years,"Is Green Lake Seattle's park? It's my opinion that Green Lake certainly makes the list of Seattle's top 5 parks! In this video, after a ...",2026-01-18 23:28:02.720952
