video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=I3ecBxsW2Mo&pp=ygULbGFrZSBjaGVsYW4%3D,/@CentralWashU,Central Washington University,Lake Chelan Geology,445K,8 years,CWU's Nick Zentner presents 'Lake Chelan Geology' - the 18th talk in his ongoing Downtown Geology Lecture Series. Recorded ...,2026-01-18 21:48:50.482762
/watch?v=_roeTGDxwM4&pp=ygULbGFrZSBjaGVsYW7SBwkJTwoBhyohjO8%3D,/@lakechelan3495,Lake Chelan,"Explore the Remote Village of Stehekin, Washington",90K,8 years,"Stehekin, Washington is located on the edge of the North Cascades National Park, on the north-end of Lake Chelan, and is almost ...",2026-01-18 21:48:50.484013
/watch?v=eY97hVwKOg4&pp=ygULbGFrZSBjaGVsYW7SBwkJTwoBhyohjO8%3D,/@CascadePBS,Cascade PBS,Lake Chelan — Battle of the Ice Sheets | Nick on the Rocks,27K,8 years,Scenic Lake Chelan is a vacation paradise that was created during the Ice Age. But how can geologists prove that an ice sheet ...,2026-01-18 21:48:50.485041
/watch?v=_ndmBCeO2DI&pp=ygULbGFrZSBjaGVsYW7SBwkJTwoBhyohjO8%3D,/@LivinginNCW,Amanda Dallman,People Regret Moving to Lake Chelan. Here's the Reality!,67K,8 months,"Thinking about moving to Lake Chelan, Washington? 🏞️ In this video, we break down the real pros and cons of living in this ...",2026-01-18 21:48:56.771852
/watch?v=_7BAosaQ7ww&pp=ygULbGFrZSBjaGVsYW4%3D,/@Elflak619,ElFlako,The LAKE CHELAN Lookout Tour,681,2 years,Lake Chelan Lookout Tour ☀️ 2Ezyy In this video I will be showing you the beautiful side of Lake Chelan and take you on a tour ...,2026-01-18 21:48:56.773182
/watch?v=mrmczYiMWas&pp=ygULbGFrZSBjaGVsYW4%3D,/@LocalLensSeattle,Local Lens Seattle,What to do in Lake Chelan | Local Lens Seattle,75K,6 years,We're showing you the best Wineries & Live music hot spots Lake Chelan has to offer! This video is sponsored by Lake Chelan ...,2026-01-18 21:48:56.775133
/watch?v=zIstfmy0nvE&pp=ygULbGFrZSBjaGVsYW4%3D,/@AmericasParks,America's Parks,Incredible Stehekin | Lake Chelan National Recreation Area | Washington,21K,4 years,Incredible Stehekin is located in Lake Chelan National Recreation Area in the state of Washington. We took a boat out to the ...,2026-01-18 21:48:56.777027
/watch?v=QhFD8Tx6yLA&pp=ygULbGFrZSBjaGVsYW7SBwkJTwoBhyohjO8%3D,/@lakechelan3495,Lake Chelan,Visit Lake Chelan Washington,8.3K,7 years,"Only in Lake Chelan Washington will you find four seasons of wine, sun, stunning natural beauty and adventures that you can ...",2026-01-18 21:48:56.778259
/watch?v=YXfjUk2_IXs&pp=ygULbGFrZSBjaGVsYW4%3D,/@camachovideos,camachovideos,"Lake Chelan, Washington      [Lakeside Park]",23K,6 years,"Lake Chelan, Washington is located just about a 3-hour beautiful drive east (and slightly north) from Seattle, through the ...",2026-01-18 21:48:56.779569
/watch?v=FAFwhrRwCQU&pp=ygULbGFrZSBjaGVsYW4%3D,/@rockhopperadventures,Rockhopper Adventures,Kayaking 73 Miles Alone - Lake Chelan - To the Most Isolated Town in Washington,8.9K,3 years,I almost turned back. The water purifier was having issues. For awhile I kind of made it work. Kind people like Bob and Roxanne ...,2026-01-18 21:48:56.781306
/watch?v=YrcxY0wxUfU&pp=ygULbGFrZSBjaGVsYW4%3D,/@ForgetSomeday,Forget Someday,Scenic Tour Over Lake Chelan Washington,35K,9 years,It's one thing to see the village of Manson from ground-level; it's a whole other experience to see it from the above! We took to the ...,2026-01-18 21:48:56.782474
/watch?v=xZNEUtQUr7M&pp=ygULbGFrZSBjaGVsYW4%3D,/@cascadiahiking,Cascadia,"Hiking 20 Miles Alone on the Chelan Lakeshore Trail | Stehekin, WA",12K,3 years,This was a 2 day backpacking trip where I hiked from Prince Creek to the town of Stehekin. I used the Lady of the Lake Ferry for ...,2026-01-18 21:48:56.783795
/watch?v=9XezChrHYkA&pp=ygULbGFrZSBjaGVsYW7SBwkJTwoBhyohjO8%3D,/@TravelwithMarsandAnt,TWB with Marlie and Anthony Love,"Here's Why YOU Need To Visit Lake Chelan, WA | TWB",7K,2 years,"Episode 139: Discover the hidden gems of Lake Chelan, Washington, in our latest episode of Traveling While Black! From thrilling ...",2026-01-18 21:48:56.785578
/watch?v=yzHqd-_7b_4&pp=ygULbGFrZSBjaGVsYW4%3D,/@WheretoNextOverland,Where to Next Overland,EPIC Dispersed Camping Above Lake Chelan!,8.6K,2 years,"Traveling along Section 4 of the Washington Backcountry Discovery Route, we battled intense winds, as we crossed ridgetop after ...",2026-01-18 21:48:56.787031
/watch?v=R5nBnO22IPc&pp=ygULbGFrZSBjaGVsYW4%3D,/@king5evening,king5evening,🧐 UNSOLVED MYSTERIES: Lake Chelan 😨,43K,4 years,Lake Chelan has been attracting tourists since the 1880's and spawning tales of mystery from the start. Read about the history: ...,2026-01-18 21:48:56.788316
/watch?v=3VlA-hNWgCo&pp=ygULbGFrZSBjaGVsYW4%3D,/@MonicaGoesShow,Monica Ortega,Lake Chelan - Washington Wine Country Travel Guide,10K,6 years,Lake Chelan - Washington Wine Country Travel Guide Lake Chelan is wine country here in the state of Washington. Between it's ...,2026-01-18 21:48:56.790116
/watch?v=gXeomf7XnEg&pp=ygULbGFrZSBjaGVsYW4%3D,/@pacificnwexplorers9969,Pacific NW Explorers,Lake Chelan drone footage,1.5K,2 years,"Lake Chelan, Washington state drone footage. Lake Chelan was the largest natural lake in the state in terms of both surface area ...",2026-01-18 21:48:56.791346
/watch?v=-16qSTr0VG8&pp=ygULbGFrZSBjaGVsYW4%3D,/@katesorenson1097,Kate Sorenson,Manson Washington Lake Chelan Promotional Video,11K,6 years,"Come visit beautiful Manson, Washington on Lake Chelan.",2026-01-18 21:48:56.792687
/watch?v=wOAN4RpwHWE&pp=ygULbGFrZSBjaGVsYW4%3D,/@sidtilt,Sidney Tilton ,VLOG: Girls Weekend in Lake Chelan,7.9K,3 years,enjoy this kinda crazy girls weekend vlog in Lake Chelan :) love y'all xx AMAZON: https://www.amazon.com/shop/sid_tilt ...,2026-01-18 21:49:04.308098
